year,measles_mmr,pertussis_dtap,polio,source
2011,90.1,93.6,92.0,CDC NIS fhky-rtsk (by 24 months)
2012,90.6,94.2,93.0,CDC NIS fhky-rtsk (by 24 months)
2013,90.3,94.2,92.3,CDC NIS fhky-rtsk (by 24 months)
2014,89.8,93.0,91.0,CDC NIS fhky-rtsk (by 24 months)
2015,90.8,93.9,92.6,CDC NIS fhky-rtsk (by 24 months)
2016,90.8,93.7,92.5,CDC NIS fhky-rtsk (by 24 months)
2017,90.4,92.6,91.5,CDC NIS fhky-rtsk (by 24 months)
2018,92.3,94.6,93.8,CDC NIS fhky-rtsk (by 24 months)
2019,91.5,93.8,92.9,CDC NIS fhky-rtsk (by 24 months)
2020,90.2,92.7,92.1,CDC NIS fhky-rtsk (by 24 months)
2021,90.2,92.8,92.0,CDC NIS fhky-rtsk (by 24 months)
2022,91.4,92.6,92.3,CDC NIS fhky-rtsk (by 24 months)
