year,dtp3,dtp4,polio3,mmr,hib3,var,pcv3,hepb3,rota,comb431,comb4313
1962,67.3,,,,,,,,,,
1963,71.4,,,,,,,,,,
1964,74.6,,,,,,,,,,
1965,72.7,,,,,,,,,,
1966,74.0,,,,,,,,,,
1967,77.9,,,60.0,,,,,,,
1968,76.8,,,61.5,,,,,,,
1969,77.4,,,61.4,,,,,,,
1970,76.4,,,58.4,,,,,,,
1971,77.8,,,62.2,,,,,,,
1972,74.1,,,62.8,,,,,,,
1973,71.7,,59.5,61.0,,,,,,,
1974,72.4,,60.0,63.4,,,,,,,
1975,73.2,,63.6,65.5,,,,,,,
1976,72.7,,61.3,66.3,,,,,,,
1977,69.6,,62.6,65.0,,,,,,,
1978,66.6,,59.5,63.6,,,,,,,
1979,64.4,,59.7,66.5,,,,,,,
1980,66.0,,58.9,66.6,,,,,,,
1981,68.1,,59.2,66.8,,,,,,,
1982,67.1,,57.0,67.6,,,,,,,
1983,65.4,,56.9,66.3,,,,,,,
1984,65.0,,53.2,65.8,,,,,,,
1985,63.6,,53.6,61.2,,,,,,,
1991,68.8,,53.2,82.0,,,,,,,
1992,83.0,59.0,72.4,82.5,28.2,,,8.0,,68.7,55.3
1993,88.2,72.1,78.9,84.1,55.0,,,16.3,,67.1,
1994,93.0,77.7,83.0,89.0,86.0,,,37.0,,75.0,
1995,94.7,78.5,87.9,87.6,91.7,,,68.0,,76.2,74.2
1996,95.0,81.1,91.1,90.7,91.7,16.0,,81.8,,78.4,76.5
1997,95.5,81.5,90.8,90.5,92.7,25.9,,83.7,,77.9,76.2
1998,95.6,83.9,90.8,92.0,93.4,43.2,,87.0,,80.6,79.2
1999,95.9,83.3,89.6,91.5,93.5,57.5,,88.1,,79.9,78.4
2000,94.1,81.7,89.5,90.5,93.4,67.8,,90.3,,77.6,76.2
2001,94.3,82.1,89.4,91.4,93.0,76.3,,88.9,,78.6,77.2
2002,94.9,81.6,90.2,91.6,93.1,80.6,40.8,88.9,,78.5,77.5
2003,96.0,84.8,91.6,93.0,93.9,84.8,68.1,92.4,,82.2,81.3
2004,95.9,85.5,91.6,93.0,93.5,87.5,73.2,92.4,,83.5,82.5
2005,96.1,85.7,91.7,91.5,93.9,87.9,82.8,92.9,,83.1,82.4
2006,95.8,85.2,92.9,92.4,93.4,89.3,87.0,93.4,,83.2,82.3
2007,95.5,84.5,92.6,92.3,92.6,90.0,90.0,92.7,,82.8,81.1
2008,96.2,84.6,93.6,92.1,90.9,90.7,92.8,93.5,,82.5,79.6
2009,94.0,83.9,92.8,90.0,92.1,89.6,92.6,92.4,43.9,81.5,50.6
2010,95.0,84.4,93.3,91.5,90.4,90.4,92.6,91.8,59.2,82.0,78.8
2011,95.5,84.6,93.9,91.6,94.0,90.8,93.6,91.1,67.3,82.6,81.9
2012,94.3,82.5,92.8,90.8,93.0,90.2,92.3,89.7,68.6,80.5,76.0
2013,94.1,83.1,92.7,91.9,92.8,91.2,92.4,90.8,72.6,81.5,77.1
2014,94.7,84.2,93.3,91.5,92.6,91.0,92.6,91.6,71.7,82.6,77.7
2015,95.0,84.6,93.7,91.9,93.2,91.8,93.3,92.6,73.2,83.2,77.7
2016,93.7,83.4,91.1,91.1,91.6,90.6,91.8,90.5,74.1,81.9,76.8
