year,cases,deaths,notes
1900,,30714,Diphtheria+croup death rate 40.3/100k (a top infectious killer); NCHS Table 65
1901,,26068,
1902,,23666,
1903,,25196,
1904,,24207,
1905,,19792,
1906,,22571,
1907,,21157,
1908,,19497,
1909,,18035,
1910,,19460,
1911,,17224,
1912,,16718,
1913,,17442,
1914,,16812,
1915,,15067,
1916,,13970,
1917,,15894,
1918,,14457,
1919,,15592,
1920,,18766,
1921,,15730,
1922,,13135,
1923,,10339,
1924,,8806,
1925,,8481,
1926,,8957,Toxoid widely adopted in the 1920s
1927,,8499,
1928,,7785,
1930,,6037,
1931,,5957,
1932,,5500,
1933,,4910,
1934,,4184,
1935,,3958,
1936,,3086,Pre-1937 = deaths derived from NCHS Table 65 rates x Census pop
1937,28356,2615,OWID series starts 1937; pre-1937 had >100k cases/yr in the 1920s
1938,20508,2560,
1939,24053,2022,
1940,15536,1457,
1941,17987,,
1942,16260,,
1943,14811,1196,
1944,14150,1145,
1945,18675,1598,
1946,16354,1259,
1947,12262,799,
1948,9493,634,
1949,7969,574,
1950,5796,410,
1951,3983,302,
1952,2960,217,
1953,2355,156,
1954,2041,145,
1955,1984,150,
1956,1568,103,
1957,1211,81,
1958,918,74,
1959,934,72,
1960,918,69,
1961,617,68,
1962,444,41,
1963,314,45,
1964,293,42,
1965,164,18,
1966,209,20,
1967,219,32,
1968,260,30,
1969,241,25,
1970,435,30,
1971,215,13,
1972,152,10,
1973,228,10,
1974,272,5,
1975,307,5,
1976,128,7,
1977,84,5,
1978,76,4,
1979,59,1,
1980,3,1,
1981,5,0,
1982,2,1,
1983,5,0,
1984,1,0,
1985,3,0,
1986,,0,
1987,3,1,
1988,2,0,
1989,3,0,
1990,4,1,
1991,5,0,
1992,4,1,
1993,0,0,
1994,2,0,
1995,0,1,
1996,2,0,
1997,4,0,
1998,1,1,
1999,1,1,
2000,1,0,
2001,2,0,
2002,1,0,
2003,1,1,
2004,0,0,
2005,0,0,
2006,0,0,
2007,0,1,
2008,0,0,
2009,0,0,
2010,0,0,
2011,0,0,
2012,1,0,
2013,0,0,
2014,1,0,
2015,0,0,
2016,0,0,
2017,0,0,
2018,1,1,
2019,2,0,
2020,1,0,
2021,0,0,
2022,1,0,
