year,cases,deaths,notes
1980,19015,,Approx; reportable from ~1966, rising through 1970s-80s
1985,26654,,Peak reported acute hepatitis B
1987,25916,,10.7 per 100000
1990,21102,,Infant/universal vaccination recommended 1991
2002,8064,,-67% since 1990 (CDC)
2010,3350,,-87% since the 1985 peak
2020,2157,,
2015,,1707,Deaths = chronic HBV-related (cirrhosis/liver cancer); CDC death certificates
2016,,1690,Chronic HBV-related deaths
2017,,1727,Chronic HBV-related deaths
2018,,1649,Chronic HBV-related deaths
2019,,1662,Chronic HBV-related deaths
