year,cases,deaths,notes
1959,,51,
1960,,42,
1961,,53,
1962,,43,
1963,,48,
1964,,50,
1965,,31,
1966,,43,
1967,,37,Mumps vaccine licensed
1968,152209,25,Nationally notifiable; into MMR 1971
1969,90918,22,
1970,104953,16,
1971,124939,15,
1972,74215,16,
1973,69612,12,
1974,59128,6,
1975,59647,8,
1976,38492,8,
1977,21436,5,
1978,16817,3,
1979,14225,2,
1980,8576,2,
1981,4941,1,
1982,5270,2,
1983,3355,2,
1984,3021,1,
1985,2982,0,
1986,7790,0,
1987,12848,2,
1988,4866,2,
1989,5712,3,
1990,5292,1,
1991,4264,1,
1992,2572,0,
1993,1692,0,
1994,1537,0,
1995,906,0,
1996,751,1,
1997,683,0,
1998,666,1,
1999,387,1,
2000,338,2,
2001,266,0,
2002,270,1,
2003,231,0,
2004,258,0,
2005,314,0,
2006,6584,1,
2007,800,0,
2008,454,2,
2009,1991,2,
2010,2612,1,
2011,404,0,
2012,229,0,
2013,584,1,
2014,1223,0,
2015,1329,1,
2016,6369,0,
2017,6109,0,
2018,2515,0,
2019,3780,1,
2020,694,0,
2021,189,,
2022,386,,
