Entity,Code,Year,Diphtheria,Measles,Mumps,Pertussis,Polio,Rubella,Measles (Annotations)
United States,USA,1910,,,,,5861,,
United States,USA,1911,,,,,1931,,
United States,USA,1913,,,,,1934,,
United States,USA,1914,,,,,1220,,
United States,USA,1915,,,,,1634,,
United States,USA,1916,,,,,27363,,
United States,USA,1917,,,,,4082,,
United States,USA,1918,,,,,2493,,
United States,USA,1919,,179829,,,1932,,Data for 2026 is incomplete
United States,USA,1920,,,,,2325,,
United States,USA,1921,,280930,,,6266,,Data for 2026 is incomplete
United States,USA,1922,,,,107473,2222,,
United States,USA,1923,,,,164191,3266,,
United States,USA,1924,,511305,,165418,5199,,Data for 2026 is incomplete
United States,USA,1925,,225027,,152003,5926,,Data for 2026 is incomplete
United States,USA,1926,,,,202210,2528,,
United States,USA,1927,,,,181411,10533,,
United States,USA,1928,,,,161799,5113,,
United States,USA,1929,,,,197371,2837,,
United States,USA,1930,,,,166914,9188,,
United States,USA,1931,,,,172559,15790,,
United States,USA,1932,,,,215343,3778,,
United States,USA,1933,,,,179135,4983,,
United States,USA,1934,,,,265269,7519,,
United States,USA,1935,,,,180518,10839,,
United States,USA,1936,,,,147237,4523,,
United States,USA,1937,28356,,,214652,9511,,
United States,USA,1938,20508,822811,,227319,1712,,Data for 2026 is incomplete
United States,USA,1939,24053,403317,,103188,7343,,Data for 2026 is incomplete
United States,USA,1940,15536,291162,,183866,9826,,Data for 2026 is incomplete
United States,USA,1941,17987,894134,,222202,9086,,Data for 2026 is incomplete
United States,USA,1942,16260,547393,,191383,4033,,Data for 2026 is incomplete
United States,USA,1943,14811,633627,,191890,12449,,Data for 2026 is incomplete
United States,USA,1944,14150,630291,,109873,19029,,Data for 2026 is incomplete
United States,USA,1945,18675,146013,,133792,13619,,Data for 2026 is incomplete
United States,USA,1946,16354,649843,,109860,25191,,Data for 2026 is incomplete
United States,USA,1947,12262,222375,,156517,10734,,Data for 2026 is incomplete
United States,USA,1948,9493,615104,,74715,27680,,Data for 2026 is incomplete
