Entity,Code,Year,Case rate,Death rate,Case rate (Annotations)
United States,USA,1919,175.58124,12.685114,Data for 2026 is incomplete
United States,USA,1921,266.51822,3.6325715,Data for 2026 is incomplete
United States,USA,1922,,3.7513707,
United States,USA,1923,,9.629631,
United States,USA,1924,464.34174,7.6012173,Data for 2026 is incomplete
United States,USA,1925,201.39868,2.06655,Data for 2026 is incomplete
United States,USA,1926,,7.591684,
United States,USA,1927,,3.853438,
United States,USA,1928,,5.2651105,
United States,USA,1929,,2.4716353,
United States,USA,1931,,2.9595065,
United States,USA,1932,,1.592791,
United States,USA,1933,,2.2922513,
United States,USA,1934,,5.653018,
United States,USA,1935,,3.1394563,
United States,USA,1936,,1.0109901,
United States,USA,1937,,1.10536,
United States,USA,1938,647.4242,2.5391467,Data for 2026 is incomplete
United States,USA,1939,314.69788,0.9137011,Data for 2026 is incomplete
United States,USA,1940,224.97908,0.52620447,Data for 2026 is incomplete
United States,USA,1941,683.2458,,Data for 2026 is incomplete
United States,USA,1942,413.09946,,Data for 2026 is incomplete
United States,USA,1943,471.62173,,Data for 2026 is incomplete
United States,USA,1944,462.7069,,Data for 2026 is incomplete
United States,USA,1945,105.72098,,Data for 2026 is incomplete
United States,USA,1946,464.0693,,Data for 2026 is incomplete
United States,USA,1947,156.62645,,Data for 2026 is incomplete
United States,USA,1948,427.29956,,Data for 2026 is incomplete
United States,USA,1949,428.12357,0.6497707,Data for 2026 is incomplete
United States,USA,1950,206.951,0.30349666,Data for 2026 is incomplete
United States,USA,1951,338.774,0.43647382,Data for 2026 is incomplete
United States,USA,1952,430.1649,0.38918293,Data for 2026 is incomplete
United States,USA,1953,278.6813,0.28665683,Data for 2026 is incomplete
United States,USA,1954,417.21793,0.31655568,Data for 2026 is incomplete
United States,USA,1955,334.02884,0.20758119,Data for 2026 is incomplete
United States,USA,1956,362.4677,0.31393462,Data for 2026 is incomplete
United States,USA,1957,283.8491,0.22682317,Data for 2026 is incomplete
United States,USA,1958,438.01776,0.31684932,Data for 2026 is incomplete
United States,USA,1959,229.28123,0.21733513,Data for 2026 is incomplete
