Entity,Code,Year,Mumps cases,Mumps deaths
United States,USA,1959,,51
United States,USA,1960,,42
United States,USA,1961,,53
United States,USA,1962,,43
United States,USA,1963,,48
United States,USA,1964,,50
United States,USA,1965,,31
United States,USA,1966,,43
United States,USA,1967,,37
United States,USA,1968,152209,25
United States,USA,1969,90918,22
United States,USA,1970,104953,16
United States,USA,1971,124939,15
United States,USA,1972,74215,16
United States,USA,1973,69612,12
United States,USA,1974,59128,6
United States,USA,1975,59647,8
United States,USA,1976,38492,8
United States,USA,1977,21436,5
United States,USA,1978,16817,3
United States,USA,1979,14225,2
United States,USA,1980,8576,2
United States,USA,1981,4941,1
United States,USA,1982,5270,2
United States,USA,1983,3355,2
United States,USA,1984,3021,1
United States,USA,1985,2982,0
United States,USA,1986,7790,0
United States,USA,1987,12848,2
United States,USA,1988,4866,2
United States,USA,1989,5712,3
United States,USA,1990,5292,1
United States,USA,1991,4264,1
United States,USA,1992,2572,0
United States,USA,1993,1692,0
United States,USA,1994,1537,0
United States,USA,1995,906,0
United States,USA,1996,751,1
United States,USA,1997,683,0
United States,USA,1998,666,1
United States,USA,1999,387,1
United States,USA,2000,338,2
United States,USA,2001,266,0
United States,USA,2002,270,1
United States,USA,2003,231,0
United States,USA,2004,258,0
United States,USA,2005,314,0
United States,USA,2006,6584,1
United States,USA,2007,800,0
United States,USA,2008,454,2
United States,USA,2009,1991,2
United States,USA,2010,2612,1
United States,USA,2011,404,0
United States,USA,2012,229,0
United States,USA,2013,584,1
United States,USA,2014,1223,0
United States,USA,2015,1329,1
United States,USA,2016,6369,0
United States,USA,2017,6109,0
United States,USA,2018,2515,0
United States,USA,2019,3780,1
United States,USA,2020,694,0
United States,USA,2021,189,
United States,USA,2022,386,
