Entity,Code,Year,Pertussis cases,Pertussis deaths
United States,USA,1922,107473,
United States,USA,1923,164191,
United States,USA,1924,165418,
United States,USA,1925,152003,
United States,USA,1926,202210,
United States,USA,1927,181411,
United States,USA,1928,161799,
United States,USA,1929,197371,
United States,USA,1930,166914,
United States,USA,1931,172559,
United States,USA,1932,215343,
United States,USA,1933,179135,
United States,USA,1934,265269,
United States,USA,1935,180518,
United States,USA,1936,147237,
United States,USA,1937,214652,
United States,USA,1938,227319,
United States,USA,1939,103188,
United States,USA,1940,183866,
United States,USA,1941,222202,
United States,USA,1942,191383,
United States,USA,1943,191890,
United States,USA,1944,109873,1878
United States,USA,1945,133792,1752
United States,USA,1946,109860,1241
United States,USA,1947,156517,1954
United States,USA,1948,74715,1146
United States,USA,1949,69479,
United States,USA,1950,120718,1118
United States,USA,1951,68687,951
United States,USA,1952,45030,402
United States,USA,1953,37129,270
United States,USA,1954,60886,373
United States,USA,1955,62786,467
United States,USA,1956,31732,266
United States,USA,1957,28295,183
United States,USA,1958,32148,177
United States,USA,1959,40005,269
United States,USA,1960,14809,118
United States,USA,1961,11468,76
United States,USA,1962,17749,83
United States,USA,1963,17135,115
United States,USA,1964,13005,93
United States,USA,1965,6799,55
United States,USA,1966,7717,49
United States,USA,1967,9718,37
United States,USA,1968,4810,36
United States,USA,1969,3285,13
United States,USA,1970,4249,12
United States,USA,1971,3036,18
United States,USA,1972,3287,6
United States,USA,1973,1759,5
United States,USA,1974,2402,14
United States,USA,1975,1738,8
United States,USA,1976,1010,7
United States,USA,1977,2177,10
United States,USA,1978,2063,6
United States,USA,1979,1623,6
United States,USA,1980,1730,11
United States,USA,1981,1248,6
United States,USA,1982,1895,4
United States,USA,1983,2463,5
United States,USA,1984,2276,7
United States,USA,1985,3589,4
United States,USA,1986,4195,6
United States,USA,1987,2823,1
United States,USA,1988,3450,4
United States,USA,1989,4157,12
United States,USA,1990,4570,12
United States,USA,1991,2719,0
United States,USA,1992,4083,5
United States,USA,1993,6586,7
United States,USA,1994,4617,8
United States,USA,1995,5137,6
United States,USA,1996,7796,4
United States,USA,1997,6564,6
United States,USA,1998,7405,5
United States,USA,1999,7298,7
United States,USA,2000,7867,12
United States,USA,2001,7580,17
United States,USA,2002,9771,18
United States,USA,2003,11647,11
United States,USA,2004,25827,16
United States,USA,2005,25616,31
United States,USA,2006,15632,9
United States,USA,2007,10454,9
United States,USA,2008,13278,20
United States,USA,2009,16858,15
United States,USA,2010,27550,26
United States,USA,2011,18719,7
United States,USA,2012,48277,17
United States,USA,2013,28639,12
United States,USA,2014,32971,14
United States,USA,2015,20762,7
United States,USA,2016,17972,11
United States,USA,2017,18975,9
United States,USA,2018,15609,9
United States,USA,2019,18617,10
United States,USA,2020,6124,5
United States,USA,2021,2116,4
United States,USA,2022,3044,2
