year,reported_cases,deaths,notes
1922,107473,,Reporting becoming national
1934,265269,,Largest reported year
1940,183866,2538,
1945,133792,1675,
1948,74715,,Whole-cell DTP entering routine use
1950,120718,1118,
1955,62786,,
1960,14809,269,
1965,6799,,
1970,4249,12,Record-low era begins
1976,1010,,All-time reported low
1980,1730,,
1985,3589,,
1990,4570,,Acellular DTaP transition begins
1993,6586,,
2000,7867,12,
2004,25827,27,PCR testing expands
2005,25616,,
2010,27550,27,California epidemic
2012,48277,20,Highest since 1955
2014,32971,,
2018,15609,,
2019,18617,,
2022,2388,,CDC NNDSS API (provisional cumulative)
2023,5611,,CDC NNDSS API (provisional cumulative)
2024,35493,,CDC NNDSS API (provisional; resurgence year)
2025,28958,,CDC NNDSS API (provisional cumulative)
