year,total_cases,paralytic_cases,deaths,notes
1910,5996,,972,
1911,1974,,450,
1913,1978,,431,
1914,1248,,337,
1915,1672,,707,
1916,28007,,7298,NYC-centered epidemic (approx national)
1917,4178,,1210,
1918,2550,,982,
1919,1974,,763,
1920,2373,,785,
1921,6405,,1632,
1922,2274,,809,
1923,3346,,871,
1924,5330,,1106,
1925,6079,,1530,
1926,2594,,873,
1927,10808,,2066,
1928,5246,,1417,
1929,2914,,834,
1930,9462,,1411,
1931,16217,,2153,
1932,3875,,849,
1933,5112,,818,
1934,7714,,874,
1935,11121,,1067,
1936,4641,,800,
1937,9758,,1470,
1938,1756,,490,
1939,7521,,774,
1940,10035,,1025,
1941,9309,,,
1942,4139,,576,
1943,12779,,1182,
1944,19533,,1397,
1945,13977,,1217,
1946,25844,,1893,
1947,11006,,595,
1948,28361,,2193,
1949,42999,,2783,
1950,32682,,1868,
1951,27959,,1528,
1952,57198,21269,3108,Largest US epidemic on record
1953,35273,15648,1437,
1954,38215,18308,1359,
1955,28832,13850,1038,Salk IPV licensed April 1955
1956,15077,7911,564,
1957,5467,2499,220,
1958,5771,3697,254,
1959,8395,,452,
1960,3173,2525,229,Sabin OPV rollout beginning
1961,978,,89,OPV licensed
1962,751,,59,
1963,389,,40,
1964,104,,17,
1965,60,,16,
1966,104,,9,
1967,39,,16,
1968,52,,23,
1969,18,,13,
1970,30,,7,Only sporadic/imported and VAPP
1971,17,,18,
1979,26,,,Last endemic wild-virus outbreak (Amish)
1990,7,7,,Vaccine-associated paralytic polio era
2000,0,0,0,OPV discontinued in US
2005,4,0,0,Importation into unvaccinated community
2022,1,1,0,Vaccine-derived case (Rockland County NY)
