disease,field,year_start,year_end,basis,note
hib,cases,1980,1989,estimated,"Pre-vaccine plateau: CDC's measured surveillance rate (~41/100k in <5) x under-5 population. Not a reported count — no granular early-1980s annual data is published."
hib,deaths,1980,2019,estimated,"Cases x an assumed ~5% case-fatality. The dashboard's Deaths view plots the measured childhood-meningitis rate instead."
meningococcal,cases,1996,2020,derived,"CDC-published incidence (per 100k) x U.S. population for that year, not a reported case count."
meningococcal,deaths,1996,2026,estimated,"Cases x ~13% case-fatality. No national annual meningococcal death count is published."
pcv,cases,1997,2019,derived,"CDC Active Bacterial Core surveillance rates for children <5; the 1999 and 2007 points are explicitly approximate."
pcv,deaths,1997,2019,estimated,"IPD cases x a measured ~1.3% case-fatality, anchored to CDC's ~200 deaths/yr pre-PCV burden estimate."
rotavirus,cases,2005,2005,estimated,"~2.7M illnesses/yr in children <5 — a CDC burden estimate, not a case count. Rotavirus has no notifiable-case record."
rotavirus,hospitalizations,2006,2019,estimated,"Approximate post-vaccine hospitalization levels."
polio,cases,1910,1971,derived,"OWID case rate x interpolated Census population."
polio,deaths,1910,1971,derived,"OWID death rate x interpolated Census population."
measles,cases,1926,1937,derived,"OWID reports no case counts for these years; filled from the published case RATE x population."
diphtheria,deaths,1900,1936,derived,"NCHS Table 65 death rates x interpolated Census population; OWID's counts start 1937."
tetanus,deaths,1900,1960,derived,"NCHS Table 65 / CDC-Fraser death rates x interpolated Census population. Tetanus cases were not notifiable until 1947."
