year,cases,deaths,notes
1900,,1776,Death rate 2.33/100k (CDC/Fraser 'Tetanus in the US 1900-1969'). Count = rate x population. Cases not reported until 1947
1910,,1752,Death rate 1.9/100k (NCHS Grove & Hetzel Table 65). Count = rate x population
1920,,1696,Death rate 1.6/100k (NCHS Table 65); WWI-era plateau
1930,,1355,Death rate 1.1/100k (NCHS Table 65)
1938,,913,Death rate 0.7/100k (NCHS Table 65); decline 1923-40 mainly from antitoxin wound care
1939,,656,"Death rate 0.5/100k (NCHS Table 65, 5th rev.); count = rate x interp. pop"
1940,,529,"Death rate 0.4/100k (NCHS Table 65, 5th rev.); count = rate x interp. pop"
1941,,670,"Death rate 0.5/100k (NCHS Table 65, 5th rev.); count = rate x interp. pop"
1942,,680,"Death rate 0.5/100k (NCHS Table 65, 5th rev.); count = rate x interp. pop"
1943,,690,"Death rate 0.5/100k (NCHS Table 65, 5th rev.); count = rate x interp. pop"
1944,,699,"Death rate 0.5/100k (NCHS Table 65, 5th rev.); count = rate x interp. pop"
1945,,709,"Death rate 0.5/100k (NCHS Table 65, 5th rev.); count = rate x interp. pop"
1946,,575,"Death rate 0.4/100k (NCHS Table 65, 5th rev.); count = rate x interp. pop"
1947,560,582,"Notifiable from 1947 (3.9 per million reported cases); historical CFR ~30% | deaths: Death rate 0.4/100k (NCHS Table 65, 5th rev.); count = rate x interp. pop"
1948,,501,Death rate ~0.34/100k (interp. NCHS 1938-1950); toxoid into routine childhood DTP. Count = rate x pop
1949,,448,"Death rate 0.3/100k (NCHS Table 65, 7th rev.); count = rate x interp. pop"
1950,,303,Death rate 0.2/100k (NCHS Table 65); toxoid-era decline 1945-55
1951,,462,"Death rate 0.3/100k (NCHS Table 65, 7th rev.); count = rate x interp. pop"
1952,,314,"Death rate 0.2/100k (NCHS Table 65, 7th rev.); count = rate x interp. pop"
1953,,319,"Death rate 0.2/100k (NCHS Table 65, 7th rev.); count = rate x interp. pop"
1954,,325,"Death rate 0.2/100k (NCHS Table 65, 7th rev.); count = rate x interp. pop"
1955,,331,"Death rate 0.2/100k (NCHS Table 65, 7th rev.); count = rate x interp. pop"
1956,,168,"Death rate 0.1/100k (NCHS Table 65, 7th rev.); count = rate x interp. pop"
1957,,342,"Death rate 0.2/100k (NCHS Table 65, 7th rev.); count = rate x interp. pop"
1958,,347,"Death rate 0.2/100k (NCHS Table 65, 7th rev.); count = rate x interp. pop"
1959,,282,Death rate 0.16/100k (CDC/Fraser); >90% below 1900
